sample_id,Yp,D_H,He3oH,Li7oH,Neff,YPCMB,He3oHe4,n,p,H2,H3,He3,He4,Li7,Be7,He6,Li8,Li6,B8
41,0.24697180176333736,2.4326155286996865e-05,1.0587105292256632e-05,5.75341286356799e-10,3.0439772985579183,0.24564559183908313,0.00012911186939754346,3.9786209593581335e-16,0.7529676463467788,1.831680789111628e-05,5.887076507382637e-08,7.912876988462177e-06,0.06174295044083434,2.1384789636606258e-11,4.1182858459760074e-10,0.0,0.0,0.0,0.0
42,0.24702946376216603,2.38358948875615e-05,1.065422815201169e-05,5.804420785264218e-10,3.0439772985579183,0.2457030452304917,0.00012989027183600086,3.922612893845801e-16,0.7529105755425083,1.7946297338364658e-05,5.87814736403463e-08,7.962899576251971e-06,0.06175736594054151,2.3178139232835916e-11,4.138428401795821e-10,0.0,0.0,0.0,0.0
43,0.2468862028741476,2.422209024245335e-05,1.040731137639282e-05,5.422742703544536e-10,3.0439772985579183,0.24556030271348075,0.00012697777847595326,4.004940420774888e-16,0.7530538013985214,1.824053713489753e-05,5.948836232048645e-08,7.777777032010204e-06,0.0617215507185369,2.1577022927342202e-11,3.8678467776368867e-10,0.0,0.0,0.0,0.0
44,0.24712753149065572,2.4144087744416243e-05,1.0606843256493241e-05,5.784879358274306e-10,3.0439772985579183,0.2458007582817376,0.0001292443706336309,3.9903646860576434e-16,0.7528121586552114,1.8175962813634827e-05,5.970516229791647e-08,7.925255406140232e-06,0.06178188287266393,2.168380677669465e-11,4.138089449495508e-10,0.0,0.0,0.0,0.0
45,0.24694816622528787,2.453640667894139e-05,1.0208091638123408e-05,5.388070796383752e-10,3.0439772985579183,0.24562204182245093,0.00012450563396444487,4.062720195777075e-16,0.7529918196808235,1.847571351360479e-05,5.98424986842477e-08,7.626766999374897e-06,0.06173704155632197,2.107654590113594e-11,3.846407774526746e-10,0.0,0.0,0.0,0.0
46,0.2468223799966931,2.427039491276614e-05,1.0412130978298694e-05,5.836962481615759e-10,3.0439772985579183,0.24549671086476715,0.0001270801848688295,3.9407716443128464e-16,0.7531175353325554,1.8278459998250228e-05,5.945973119453637e-08,7.782098688741525e-06,0.061705594999173274,2.2734943822570188e-11,4.168569359757355e-10,0.0,0.0,0.0,0.0
47,0.2469712757470912,2.3954019628327505e-05,1.0416457481868971e-05,5.453805655462783e-10,3.0439772985579183,0.2456450677260563,0.00012703130405976792,3.9284799406760046e-16,0.7529691182934781,1.803663703912643e-05,5.7684940328947605e-08,7.785585865535434e-06,0.0617428189367728,2.134769331808423e-11,3.893070302556954e-10,0.0,0.0,0.0,0.0
48,0.24699288634229064,2.447667314015808e-05,1.0465372714343428e-05,5.578122546825557e-10,3.0439772985579183,0.2456666001335565,0.00012761285628641635,3.983323251822045e-16,0.752946611862341,1.8429628110543994e-05,5.863664245928293e-08,7.821230284682193e-06,0.06174822158557266,2.102586941749723e-11,3.9897697780102636e-10,0.0,0.0,0.0,0.0
49,0.24697903144869082,2.485554272976063e-05,1.0216596379215982e-05,5.272832919978783e-10,3.0439772985579183,0.24565279536656098,0.00012458860229116127,4.0891582719130735e-16,0.752960457212916,1.8715240818075736e-05,5.924065129389151e-08,7.633452429560397e-06,0.061744757862172706,2.1796372359853123e-11,3.7522709626360084e-10,0.0,0.0,0.0,0.0
50,0.24712715295895166,2.4648776400587618e-05,1.0453369447411159e-05,5.597612887968272e-10,3.0439772985579183,0.2458003811187898,0.0001273744817229258,4.075185860923401e-16,0.7528121240277296,1.855589771681094e-05,5.880905345714979e-08,7.810614203495018e-06,0.061781788239737914,2.2567196536723824e-11,3.9882788823091504e-10,0.0,0.0,0.0,0.0
51,0.24695967527452878,2.432227012412847e-05,1.0290074813192238e-05,5.556873320681359e-10,3.0439772985579183,0.24563350922704474,0.00012549781889275297,4.000928760458682e-16,0.7529804487349768,1.8314193872319577e-05,5.83928229240099e-08,7.689832327429964e-06,0.061739918818632195,2.1082842011077094e-11,3.973388546459299e-10,0.0,0.0,0.0,0.0
52,0.2469849166012662,2.474105506245181e-05,1.0543304747053365e-05,5.615191275530167e-10,3.0439772985579183,0.24565865922649133,0.0001285685565520298,4.10874689242653e-16,0.7529540068170508,1.862887654215437e-05,5.869758222326657e-08,7.879925972163797e-06,0.06174622915031655,2.184956929275867e-11,4.009485077026999e-10,0.0,0.0,0.0,0.0
53,0.24681825689189718,2.382781673878859e-05,1.0290430253992356e-05,5.67171381915177e-10,3.0439772985579183,0.24549260268695022,0.000125597768701554,3.912296015575509e-16,0.7531225997183721,1.7945267287929408e-05,5.946440513104711e-08,7.690491179976264e-06,0.061704564222974295,2.2968549095795556e-11,4.0418103653802427e-10,0.0,0.0,0.0,0.0
54,0.2470654492055278,2.451672697168796e-05,1.0164876556414218e-05,5.516708989583759e-10,3.0439772985579183,0.24573890051100838,0.00012390041813174483,4.0280926596286544e-16,0.752874673208792,1.845802280695875e-05,5.957848519143545e-08,7.59329963042663e-06,0.06176636230138195,2.186693773392273e-11,3.93472110038165e-10,0.0,0.0,0.0,0.0
55,0.24706522293729016,2.434701141744524e-05,1.0463646116188948e-05,5.672122312912213e-10,3.0439772985579183,0.2457386750611474,0.0001275422260819806,3.991816935889595e-16,0.7528744801515654,1.833024356415331e-05,5.754348538236437e-08,7.820268644833336e-06,0.06176630573432254,2.2596296408972308e-11,4.044433173600155e-10,0.0,0.0,0.0,0.0
56,0.2470564961033392,2.46955866288207e-05,1.0312908762238586e-05,5.662488591255024e-10,3.0439772985579183,0.24572997979134067,0.00012571074286117818,4.06651124571311e-16,0.7528830218965541,1.8592887888614663e-05,5.955691719867335e-08,7.704856996258964e-06,0.0617641240258348,2.1921657371534195e-11,4.0439749483235016e-10,0.0,0.0,0.0,0.0
57,0.24693459270561377,2.4642805427165943e-05,1.0402711095858757e-05,5.299342993563706e-10,3.0439772985579183,0.24560851741997716,0.0001268885209245698,4.0550568160906714e-16,0.7530047923276438,1.8556150583053625e-05,5.929226859517282e-08,7.773999039786426e-06,0.06173364817640344,2.1668662246239843e-11,3.773744047878995e-10,0.0,0.0,0.0,0.0
58,0.24707003653749912,2.429407398553485e-05,1.0369030660212391e-05,5.496755484061594e-10,3.0439772985579183,0.24574347125147664,0.00012638572952188658,3.951303998638152e-16,0.7528699604151664,1.8290278519812746e-05,5.893978296939013e-08,7.74759191972836e-06,0.06176750913437478,2.224163630799051e-11,3.9159257206173957e-10,0.0,0.0,0.0,0.0
