YPBBN	DoH	He3oH	Li7oH	Neff	YPCMB	He3oHe4	n	p	H2	H3	He3	He4	Li7	Be7	He6	Li8	Li6	B8
2.4702556262e-01	2.4511936681e-05	1.0306132693e-05	5.7127680588e-10	3.0439772986e+00	2.4569915821e-01	1.2564908716e-04	4.0479994941e-16	7.5291424469e-01	1.8455386292e-05	5.8591733747e-08	7.7010423787e-06	6.1756390656e-02	2.3612537209e-11	4.0650990760e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4697503567e-01	2.4648260907e-05	1.0389155814e-05	5.4271377541e-10	3.0439772986e+00	2.4564881404e-01	1.2669562643e-04	4.0451592163e-16	7.5296437496e-01	1.8559262368e-05	5.7662853603e-08	7.7650013605e-06	6.1743758917e-02	2.1379148059e-11	3.8726499062e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4700126336e-01	2.3990081214e-05	1.0545908421e-05	5.6478264935e-10	3.0439772986e+00	2.4567494685e-01	1.2858919632e-04	3.8229183980e-16	7.5293878627e-01	1.8063062632e-05	5.7540466503e-08	7.8828830198e-06	6.1750315840e-02	2.2565963003e-11	4.0268079950e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4701576528e-01	2.4592685954e-05	1.0147569873e-05	5.1407424526e-10	3.0439772986e+00	2.4568939630e-01	1.2372249540e-04	4.0470373409e-16	7.5292427809e-01	1.8516430318e-05	6.0258144618e-08	7.5800935765e-06	6.1753941321e-02	2.3355290240e-11	3.6370368976e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4700390475e-01	2.4253940631e-05	1.0523903776e-05	5.6361712730e-10	3.0439772986e+00	2.4567757868e-01	1.2831900598e-04	3.9610250875e-16	7.5293579749e-01	1.8261660132e-05	5.8126688671e-08	7.8656971939e-06	6.1750976187e-02	2.0602877543e-11	4.0376463368e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4703443457e-01	2.4323659091e-05	1.0421251458e-05	5.5140432650e-10	3.0439772986e+00	2.4570799806e-01	1.2704652257e-04	4.0136180995e-16	7.5290539705e-01	1.8313414205e-05	5.9155332179e-08	7.7870611347e-06	6.1758608643e-02	2.1729678799e-11	3.9342561458e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4706150817e-01	2.4339700696e-05	1.0429280904e-05	5.4586696700e-10	3.0439772986e+00	2.4573497373e-01	1.2712589933e-04	4.0107754439e-16	7.5287828335e-01	1.8324832077e-05	5.7717328803e-08	7.7942617749e-06	6.1765377042e-02	2.2692579383e-11	3.8827880567e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4722403368e-01	2.4300893504e-05	1.0487201813e-05	5.6782615703e-10	3.0439772986e+00	2.4589691159e-01	1.2772029190e-04	3.9866428757e-16	7.5271569835e-01	1.8291664024e-05	5.8765066101e-08	7.8351163707e-06	6.1806008421e-02	2.0347321199e-11	4.0706434114e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4696359662e-01	2.4165621747e-05	1.0535323911e-05	5.5183179140e-10	3.0439772986e+00	2.4563741639e-01	1.2848611495e-04	3.9263519112e-16	7.5297620965e-01	1.8196138267e-05	5.7358480760e-08	7.8754897851e-06	6.1740899156e-02	2.0755042541e-11	3.9476116811e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4709903759e-01	2.3995845047e-05	1.0582851721e-05	5.8301246023e-10	3.0439772986e+00	2.4577236742e-01	1.2897183226e-04	3.8986706126e-16	7.5284092762e-01	1.8065054244e-05	5.7412563285e-08	7.9097913435e-06	6.1774759398e-02	2.1021570511e-11	4.1789407086e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
